id_news,title,date
21910177.0,Delegación regional de Los Lagos participará en los Juegos Para-Araucanía Chile 2021 en Temuco,2021-11-25
21470548.0,10 años de prisión a homicida que quitó la vida a reparador de propiedades,2021-08-01
21380593.0,En prisión preventiva quedaron hombre y mujer acusados de microtráfico en Puerto Montt,2021-07-04
21910205.0,"Operativo deja en cero Lista de Espera de Cirugía y Traumatología Infantil en Chaitén, Futaleufú y Palena",2021-11-26
22327022.0,Detectan 108 pastillas de éxtasis en paquete que venía desde Holanda,2021-08-13
47529076.0,"Dos detenido por ""pasear"" a menor en maletero de un auto",2021-10-28
21887374.0,Cámara de Comercio de Puerto Montt presenta recurso judicial contra el municipio local,2021-12-21
21887984.0,Embajador Jostein Leiro destacó relevancia de Puerto Montt en vínculos de Chile con Noruega,2021-11-28
21385823.0,Destacan importancia de Puerto Montt en vínculos de Chile con Noruega,2021-11-29
47519846.0,Hallan sin vida a un adulto mayor que desapareció en Salto Grande,2021-07-24
47533019.0,Clínica Andes Salud Puerto Montt inaugura nuevo Servicio de Urgencia,2021-12-12
21382825.0,Semana de la Pyme regional,2021-10-25
21914100.0,Asumió nueva presidenta de la Cámara Chilena de la Construcción en Puerto Mott,2021-08-18
47518023.0,Colisión frontal termina con cuatro lesionados,2021-07-17
21473352.0,Colisión dejó 2 lesionados en Los Lagos: los conductores habrían estado bajo los efectos del alcohol,2021-10-10
21386755.0,Llanquihue: Brigada de Homicidios de Puerto Montt realizó diligencias de investigación en incendio donde resultó fallecida una persona,2021-08-16
21887691.0,Dep. Puerto Montt adeuda más de $234 millones al municipio por rendiciones objetadas,2021-08-31
47520901.0,Puerto Montt: españoles se interesan en puerto de cruceros,2021-08-17
47522339.0,Españoles se interesan en puerto de cruceros,2021-08-15
21389071.0,Puerto Montt podría ser sede del Mundial de Maxibásquetbol,2021-07-28
21474246.0,Falleció joven que fue encontrado en la calle pidiendo auxilio tras golpiza: Tenía 23 años,2021-08-06
47528666.0,Seis carabineros lesionados dejaron los disturbios tras marcha por el 18-O,2021-10-20
21426108.0,"Corte de Apelaciones desarrolla acciones de coordinación para garantizar los derechos de niños, niñas y adolescentes de la región",2021-10-12
22596853.0,Se lanzó Educación Continua de la Sede Puerto Montt UACh,2021-10-19
21380366.0,Taxistas ejecutivos reciben importante aporte,2021-12-14
21453695.0,Concejal fue denunciado por acoso laboral: Trabajadora acusó malos tratos y labores que no le correspondían,2021-09-02
21888686.0,Bajo modalidad híbrida y semipresencial se realizará la quinta Feria del Libro de Puerto Montt,2021-10-17
47525248.0,"Con la obligación de ganar, Delfines reciben hoy al colista Barnechea",2021-09-22
47528073.0,Entrevistas grabadas debutarán el próximo año en Poder Judicial,2021-10-18
47529917.0,Dictaminan 10 años de pena para autor de robo con intimidación,2021-11-01
22335140.0,Alcalde anuncia una ordenanza contra el acoso callejero en Puerto Montt,2021-12-05
21425605.0,XI Jornadas de Arqueología de la Patagonia difunde sus actividades de vinculación con el medio,2021-11-27
21378263.0,Fundación Puerto Montt Adelantó entrega juguetes para niños y niñas,2021-12-27
21889318.0,Finalizan obras de asfalto de tramo que une Lago Chapo con Puerto Montt,2021-08-22
21887580.0,Colegio Médico Puerto Montt manifestó preocupación por proyecto de centro oncológico,2021-09-07
